ID,Academic Background,Major,Interests,Skills,Job Position,Salary (SAR/month),Certifications,Tools,Job Description,Suggested Learning Path
509,Design,Product Design,"Branding, Illustration, Motion Graphics","Figma, Cinema 4D, Adobe Photoshop, Typography",Motion Graphics Designer,18750 - 52500 SAR,"None, Motion Graphics Pro","Adobe XD, ZBrush, Krita","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
510,Business,Marketing,"Consulting, Entrepreneurship, Business Strategy","Excel, Social Media Marketing, Advertising, Presentation Skills",Financial Analyst,20625 - 56250 SAR,"Chartered Financial Analyst (CFA), None","Trello, SAP, HubSpot","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
511,Technology,Computer Science,"Blockchain, App Development, Web Development","Cloud Computing, API Development, Python, iOS Development",Software Engineer,15000 - 45000 SAR,"None, AWS Certified","Google Cloud, Arduino, Oracle Cloud","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
512,Technology,Software Engineering,"Data Science, Cloud Computing, Blockchain","Swift, Cloud Computing, React, Machine Learning",Frontend Developer,18750 - 56250 SAR,"Certified JavaScript Developer, Google Mobile Web Specialist","Oracle Cloud, TensorFlow, Power BI","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
513,Business,Human Resources,"Business Strategy, Consulting, Sales","Advertising, Presentation Skills, Supply Chain Management, Google Analytics",Business Analyst,22500 - 60000 SAR,"Data Analytics Certificate, Certified Business Analysis Professional (CBAP)","Google Analytics, Microsoft Power BI, Slack","Analyzes market trends in Saudi Arabia, provides data-driven recommendations to companies, and optimizes business operations for growth.","Data Visualization for Business, SQL for Business Analytics, Excel Power Query"
514,Design,Animation,"Motion Graphics, UI/UX, 3D Design","Sketch, Cinema 4D, UI/UX Research, Product Prototyping",Graphic Designer,13125 - 37500 SAR,"3D Modeling Certification, None","Figma, ZBrush, Maya","Creates branding and marketing materials for Saudi businesses, including social media campaigns, product packaging, and corporate identity materials.","Advanced Photoshop Techniques, 3D Design with Blender, Typography & Branding"
515,Business,Project Management,"Digital Marketing, Business Strategy, Entrepreneurship","Salesforce, Social Media Marketing, Presentation Skills, Project Management",Data Analyst,20625 - 56250 SAR,"Google Data Analytics Certificate, Python for Data Analysis","Asana, Hootsuite, Oracle ERP","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
516,Business,Finance,"Consulting, Sales, Digital Marketing","Google Analytics, Social Media Marketing, Presentation Skills, Negotiation",Strategy Consultant,16875 - 45000 SAR,"Six Sigma Black Belt, Certified Strategy Consultant","Microsoft Power BI, Slack, Hootsuite","Provides expert advice to businesses entering the Saudi market, focusing on regulatory compliance, market expansion, and financial strategies.","Business Strategy & Competitive Analysis, Financial Modeling, Market Research & Consulting"
517,Technology,Computer Science,"Web Development, App Development, Data Science","AWS, Cloud Computing, API Development, Python",Software Engineer,18750 - 56250 SAR,"Microsoft Azure Developer, None","Oracle Cloud, GitHub, Microsoft Azure","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
518,Business,Human Resources,"Business Strategy, Sales, Digital Marketing","Supply Chain Management, Google Analytics, Negotiation, Social Media Marketing",HR Specialist,20625 - 56250 SAR,"None, HR Professional Certificate","Microsoft Power BI, Asana, Salesforce","Manages recruitment and employee relations for Saudi-based companies, ensuring compliance with labor laws and Saudization policies.","HR Analytics & People Management, Recruitment & Talent Acquisition, Employee Engagement"
519,Technology,AI & Robotics,"Cloud Computing, Machine Learning, Blockchain","Kubernetes, Java, Swift, Cybersecurity",Software Engineer,15000 - 45000 SAR,"Microsoft Azure Developer, AWS Certified","GitHub, IBM Watson, Google Cloud","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
520,Business,Human Resources,"Sales, Business Strategy, Digital Marketing","Excel, SEO, Advertising, Salesforce",Financial Analyst,20625 - 56250 SAR,"None, Certified Financial Planner (CFP)","SAP, Trello, Monday.com","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
521,Design,Graphic Design,"UI/UX, Motion Graphics, 3D Design","Cinema 4D, Sketch, Wireframing, Illustrator",Motion Graphics Designer,18750 - 52500 SAR,"Adobe After Effects Certification, Motion Graphics Pro","Krita, CorelDRAW, Cinema 4D","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
522,Technology,Data Science,"App Development, Cloud Computing, Web Development","Swift, Data Analysis, Machine Learning, API Development",Data Scientist,26250 - 67500 SAR,"None, Google Data Analytics Certificate","Google Cloud, Jupyter Notebook, IBM Watson","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
523,Technology,Computer Science,"App Development, Web Development, Machine Learning","C++, TensorFlow, Machine Learning, Cybersecurity",Software Engineer,15000 - 45000 SAR,"None, AWS Certified","Docker, TensorFlow, GitHub","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
524,Business,Human Resources,"Digital Marketing, Business Strategy, Entrepreneurship","Social Media Marketing, Excel, Google Analytics, Market Research",Financial Analyst,22500 - 60000 SAR,"Certified Financial Planner (CFP), None","HubSpot, Slack, Asana","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
525,Technology,Software Engineering,"Cloud Computing, Blockchain, App Development","Cybersecurity, Cloud Computing, Swift, React",Software Engineer,26250 - 67500 SAR,"Microsoft Azure Developer, AWS Certified","MATLAB, Microsoft Azure, Arduino","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
526,Design,Graphic Design,"3D Design, Branding, Motion Graphics","Illustrator, Cinema 4D, Graphic Design, Adobe Photoshop",3D Artist,13125 - 37500 SAR,"None, Blender Certification","Sketch, Adobe XD, Blender","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
527,Technology,Data Science,"Web Development, Blockchain, App Development","TensorFlow, C++, Android Development, Cloud Computing",AI Engineer,15000 - 45000 SAR,"Google ML Certification, TensorFlow Developer Certificate","Tableau, TensorFlow, Microsoft Azure","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
528,Design,Animation,"Motion Graphics, UI/UX, Branding","Figma, Wireframing, Graphic Design, Illustrator",UI/UX Designer,16875 - 45000 SAR,"Google UX Design Certificate, None","ZBrush, Canva, Blender","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
529,Design,Animation,"Motion Graphics, Branding, Illustration","Brand Identity, Product Prototyping, Motion Graphics, UI/UX Research",3D Artist,18750 - 52500 SAR,"3D Animation Certificate, None","Krita, Sketch, Affinity Designer","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
530,Design,Graphic Design,"Motion Graphics, Illustration, Branding","Graphic Design, UI/UX Research, Adobe Photoshop, Illustrator",UX Engineer,18750 - 52500 SAR,None,"Krita, Blender, Cinema 4D","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
531,Business,Human Resources,"Sales, Business Strategy, Consulting","Negotiation, E-commerce, Social Media Marketing, Financial Analysis",Sales Manager,22500 - 60000 SAR,"None, Salesforce Certification","HubSpot, Monday.com, Asana","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
532,Technology,Data Science,"Cloud Computing, Machine Learning, Data Science","Data Analysis, Android Development, Cloud Computing, Blockchain",Frontend Developer,15000 - 45000 SAR,"None, Certified JavaScript Developer","Power BI, GitHub, TensorFlow","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
533,Technology,AI & Robotics,"Blockchain, Web Development, Data Science","SQL, Swift, AWS, TensorFlow",Cloud Architect,26250 - 67500 SAR,"AWS Certified Solutions Architect, Google Cloud Architect","Google Cloud, Jupyter Notebook, Tableau","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
534,Business,Human Resources,"Entrepreneurship, Sales, Digital Marketing","Project Management, Social Media Marketing, Negotiation, Advertising",Marketing Manager,16875 - 45000 SAR,"Google Ads Certification, None","Hootsuite, SAP, Asana","Develops marketing strategies for Saudi businesses, focusing on digital advertising, influencer collaborations, and localized content marketing.","SEO & Digital Marketing, Social Media Growth Strategies, Branding & Market Research"
535,Technology,Cyber Security,"App Development, Blockchain, Machine Learning","iOS Development, Kubernetes, Data Analysis, AWS",AI Engineer,15000 - 45000 SAR,"Google ML Certification, TensorFlow Developer Certificate","Google Cloud, Docker, TensorFlow","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
536,Technology,Software Engineering,"Machine Learning, App Development, Blockchain","Swift, Cybersecurity, AWS, API Development",AI Engineer,15000 - 45000 SAR,"TensorFlow Developer Certificate, None","Tableau, GitHub, IBM Watson","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
537,Technology,Software Engineering,"App Development, Data Science, Blockchain","TensorFlow, AWS, Swift, Java",Cybersecurity Analyst,15000 - 45000 SAR,"Certified Ethical Hacker (CEH), None","Google Cloud, Docker, Apache Spark","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
538,Technology,Software Engineering,"Blockchain, Web Development, Machine Learning","Kubernetes, Data Analysis, Swift, C++",Software Engineer,15000 - 45000 SAR,"AWS Certified, Microsoft Azure Developer","Arduino, Power BI, MATLAB","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
539,Business,Finance,"Business Strategy, Consulting, Digital Marketing","Negotiation, Salesforce, Project Management, Social Media Marketing",Data Analyst,20625 - 56250 SAR,"None, Google Data Analytics Certificate","Asana, Salesforce, Hootsuite","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
540,Design,Animation,"Branding, Illustration, UI/UX","Wireframing, Blender, After Effects, Figma",Product Designer,16875 - 45000 SAR,"Certified Design Thinking Professional, None","Procreate, Sketch, ZBrush",Combines UI/UX and industrial design principles to develop consumer products and digital experiences optimized for the Saudi market.,"Product Thinking & Strategy, Prototyping with Figma, 3D Product Visualization"
541,Business,Human Resources,"Sales, Business Strategy, Entrepreneurship","Project Management, Negotiation, Excel, SEO",Data Analyst,16875 - 45000 SAR,"None, Python for Data Analysis","Google Analytics, Asana, Monday.com","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
542,Design,Graphic Design,"Motion Graphics, 3D Design, Illustration","Graphic Design, Cinema 4D, After Effects, 3D Animation",Motion Graphics Designer,13125 - 37500 SAR,"Motion Graphics Pro, Adobe After Effects Certification","Krita, Affinity Designer, Sketch","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
543,Technology,AI & Robotics,"App Development, Cloud Computing, Web Development","Python, TensorFlow, iOS Development, React",Frontend Developer,18750 - 56250 SAR,"Google Mobile Web Specialist, Certified JavaScript Developer","MATLAB, Apache Spark, Oracle Cloud","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
544,Design,UI/UX,"Illustration, 3D Design, Motion Graphics","Adobe Photoshop, Wireframing, After Effects, Product Prototyping",Graphic Designer,16875 - 45000 SAR,"None, 3D Modeling Certification","Maya, Affinity Designer, Blender","Creates branding and marketing materials for Saudi businesses, including social media campaigns, product packaging, and corporate identity materials.","Advanced Photoshop Techniques, 3D Design with Blender, Typography & Branding"
545,Design,Product Design,"Motion Graphics, UI/UX, 3D Design","Typography, UI/UX Research, Illustrator, Motion Graphics",UX Engineer,18750 - 52500 SAR,None,"Adobe XD, ZBrush, Maya","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
546,Technology,Software Engineering,"Data Science, Cloud Computing, App Development","Kubernetes, Cybersecurity, React, Machine Learning",Cloud Architect,15000 - 45000 SAR,"AWS Certified Solutions Architect, Google Cloud Architect","TensorFlow, Apache Spark, IBM Watson","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
547,Technology,Cyber Security,"Cloud Computing, Blockchain, App Development","React, SQL, Blockchain, Data Analysis",Data Scientist,15000 - 45000 SAR,"AWS Data Analytics, None","Jupyter Notebook, TensorFlow, Arduino","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
548,Technology,Computer Science,"Web Development, Cloud Computing, Data Science","React, Data Analysis, Cybersecurity, Kubernetes",Data Scientist,15000 - 45000 SAR,"Google Data Analytics Certificate, AWS Data Analytics","TensorFlow, Apache Spark, Microsoft Azure","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
549,Business,Finance,"Consulting, Digital Marketing, Business Strategy","Market Research, Advertising, Financial Analysis, Supply Chain Management",Data Analyst,22500 - 60000 SAR,"Python for Data Analysis, Google Data Analytics Certificate","Trello, SAP, Monday.com","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
550,Design,Graphic Design,"UI/UX, Motion Graphics, Illustration","Blender, 3D Animation, After Effects, Motion Graphics",3D Artist,13125 - 37500 SAR,"Blender Certification, None","Canva, Figma, Maya","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
551,Business,Human Resources,"Digital Marketing, Entrepreneurship, Sales","Financial Analysis, Salesforce, Social Media Marketing, Google Analytics",Sales Manager,20625 - 56250 SAR,"None, Salesforce Certification","HubSpot, Hootsuite, Trello","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
552,Technology,Cyber Security,"Data Science, Machine Learning, Web Development","Java, Kubernetes, Cloud Computing, Python",Frontend Developer,18750 - 56250 SAR,"Certified JavaScript Developer, Google Mobile Web Specialist","Jupyter Notebook, MATLAB, Microsoft Azure","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
553,Business,Finance,"Business Strategy, Sales, Consulting","E-commerce, Social Media Marketing, Supply Chain Management, Negotiation",Data Analyst,22500 - 60000 SAR,"Python for Data Analysis, Google Data Analytics Certificate","Hootsuite, Monday.com, Google Analytics","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
554,Business,Human Resources,"Consulting, Sales, Business Strategy","Project Management, Presentation Skills, SEO, Financial Analysis",Fintech Business Analyst,16875 - 45000 SAR,"Fintech & Blockchain Certification, None","Asana, Monday.com, Google Analytics",Bridges finance and technology by working with developers to optimize fintech solutions and ensure regulatory compliance.,"Blockchain & Cryptocurrency Fundamentals, AI in Financial Services, RegTech & Compliance"
555,Technology,Software Engineering,"Machine Learning, Blockchain, App Development","Cloud Computing, Cybersecurity, Python, C++",Software Engineer,15000 - 45000 SAR,"AWS Certified, Microsoft Azure Developer","IBM Watson, Oracle Cloud, GitHub","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
556,Technology,Cyber Security,"Cloud Computing, Web Development, Blockchain","Blockchain, API Development, Cybersecurity, Data Analysis",Cybersecurity Analyst,26250 - 67500 SAR,"Certified Ethical Hacker (CEH), None","MATLAB, TensorFlow, Jupyter Notebook","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
557,Technology,Data Science,"Data Science, Machine Learning, App Development","Data Analysis, SQL, TensorFlow, Machine Learning",Cloud Architect,26250 - 67500 SAR,"AWS Certified Solutions Architect, None","GitHub, Arduino, IBM Watson","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
558,Design,Product Design,"UI/UX, Branding, Illustration","Adobe Photoshop, After Effects, Graphic Design, Product Prototyping",UX Engineer,13125 - 37500 SAR,None,"Procreate, Affinity Designer, Krita","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
559,Design,Animation,"3D Design, Illustration, Motion Graphics","Figma, Graphic Design, UI/UX Research, Sketch",UI/UX Designer,13125 - 37500 SAR,"Adobe Certified Expert, Google UX Design Certificate","Blender, Adobe XD, Procreate","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
560,Business,Finance,"Digital Marketing, Sales, Entrepreneurship","Market Research, E-commerce, Project Management, Supply Chain Management",Sales Manager,20625 - 56250 SAR,"Salesforce Certification, None","HubSpot, Asana, Oracle ERP","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
561,Business,Finance,"Business Strategy, Digital Marketing, Consulting","Market Research, SEO, Excel, Financial Analysis",HR Specialist,22500 - 60000 SAR,"None, PMP","Salesforce, Trello, Microsoft Power BI","Manages recruitment and employee relations for Saudi-based companies, ensuring compliance with labor laws and Saudization policies.","HR Analytics & People Management, Recruitment & Talent Acquisition, Employee Engagement"
562,Technology,AI & Robotics,"Machine Learning, Data Science, App Development","iOS Development, React, Machine Learning, Swift",Cybersecurity Analyst,15000 - 45000 SAR,"None, CompTIA Security+","IBM Watson, Oracle Cloud, TensorFlow","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
563,Technology,Computer Science,"Web Development, Data Science, Machine Learning","iOS Development, C++, Cybersecurity, Kubernetes",Data Scientist,15000 - 45000 SAR,"Google Data Analytics Certificate, AWS Data Analytics","Tableau, GitHub, Apache Spark","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
564,Business,Project Management,"Consulting, Entrepreneurship, Digital Marketing","E-commerce, Project Management, Advertising, Social Media Marketing",Fintech Business Analyst,20625 - 56250 SAR,"None, AI in Finance","Slack, Microsoft Power BI, Oracle ERP",Bridges finance and technology by working with developers to optimize fintech solutions and ensure regulatory compliance.,"Blockchain & Cryptocurrency Fundamentals, AI in Financial Services, RegTech & Compliance"
565,Business,Project Management,"Digital Marketing, Entrepreneurship, Consulting","E-commerce, Presentation Skills, SEO, Market Research",Sales Manager,16875 - 45000 SAR,"Salesforce Certification, None","HubSpot, Salesforce, Hootsuite","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
566,Design,UI/UX,"3D Design, Motion Graphics, Illustration","Wireframing, Graphic Design, UI/UX Research, Blender",3D Artist,13125 - 37500 SAR,"3D Animation Certificate, Blender Certification","Canva, Krita, Blender","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
567,Design,UI/UX,"Illustration, 3D Design, Motion Graphics","Sketch, Motion Graphics, Typography, Adobe Photoshop",Motion Graphics Designer,13125 - 37500 SAR,"None, Motion Graphics Pro","ZBrush, Canva, Krita","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
568,Technology,Software Engineering,"Web Development, Cloud Computing, Machine Learning","React, Android Development, API Development, iOS Development",Data Scientist,18750 - 56250 SAR,"AWS Data Analytics, Google Data Analytics Certificate","Jupyter Notebook, MATLAB, GitHub","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
569,Design,Animation,"3D Design, Motion Graphics, UI/UX","3D Animation, Motion Graphics, After Effects, Product Prototyping",3D Artist,13125 - 37500 SAR,"3D Animation Certificate, None","Krita, Canva, Sketch","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
570,Design,Animation,"Illustration, Motion Graphics, 3D Design","Figma, Brand Identity, Product Prototyping, Motion Graphics",UX Engineer,16875 - 45000 SAR,None,"Procreate, Blender, Sketch","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
571,Business,Marketing,"Consulting, Business Strategy, Digital Marketing","Financial Analysis, SEO, Presentation Skills, Supply Chain Management",Financial Analyst,22500 - 60000 SAR,"Chartered Financial Analyst (CFA), Certified Financial Planner (CFP)","Hootsuite, Microsoft Power BI, Trello","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
572,Technology,Data Science,"Blockchain, Machine Learning, Web Development","C++, Blockchain, iOS Development, SQL",Cloud Architect,18750 - 56250 SAR,"None, Google Cloud Architect","Docker, Tableau, Arduino","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
573,Technology,Cyber Security,"Cloud Computing, App Development, Machine Learning","Blockchain, Kubernetes, Data Analysis, SQL",Frontend Developer,15000 - 45000 SAR,"None, Certified JavaScript Developer","Oracle Cloud, Docker, Jupyter Notebook","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
574,Business,Marketing,"Consulting, Business Strategy, Digital Marketing","Salesforce, E-commerce, Financial Analysis, Excel",Financial Analyst,22500 - 60000 SAR,"None, Certified Financial Planner (CFP)","Hootsuite, Google Analytics, SAP","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
575,Technology,Data Science,"Machine Learning, Blockchain, Data Science","Machine Learning, Android Development, Swift, Cloud Computing",AI Engineer,15000 - 45000 SAR,"Google ML Certification, None","Apache Spark, Google Cloud, Arduino","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
576,Technology,AI & Robotics,"App Development, Cloud Computing, Machine Learning","Java, API Development, React, Machine Learning",AI Engineer,18750 - 56250 SAR,"None, TensorFlow Developer Certificate","Apache Spark, MATLAB, Docker","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
577,Technology,AI & Robotics,"Data Science, Machine Learning, App Development","TensorFlow, React, Data Analysis, Android Development",Cloud Architect,26250 - 67500 SAR,"Google Cloud Architect, AWS Certified Solutions Architect","Apache Spark, Docker, Microsoft Azure","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
578,Technology,Computer Science,"Machine Learning, Blockchain, Cloud Computing","C++, API Development, Java, React",Software Engineer,15000 - 45000 SAR,"Microsoft Azure Developer, None","Oracle Cloud, TensorFlow, Google Cloud","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
579,Design,Product Design,"Motion Graphics, Illustration, Branding","Typography, UI/UX Research, Blender, Cinema 4D",UX Engineer,13125 - 37500 SAR,None,"Affinity Designer, Cinema 4D, CorelDRAW","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
580,Business,Finance,"Digital Marketing, Entrepreneurship, Consulting","Presentation Skills, Advertising, Market Research, Negotiation",Financial Analyst,20625 - 56250 SAR,"Chartered Financial Analyst (CFA), Certified Financial Planner (CFP)","Monday.com, Hootsuite, Asana","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
581,Business,Project Management,"Consulting, Digital Marketing, Entrepreneurship","Google Analytics, Salesforce, Advertising, SEO",Sales Manager,20625 - 56250 SAR,"Salesforce Certification, None","Hootsuite, Trello, Salesforce","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
582,Business,Marketing,"Sales, Entrepreneurship, Digital Marketing","Presentation Skills, Social Media Marketing, Advertising, SEO",HR Specialist,22500 - 60000 SAR,"None, HR Professional Certificate","HubSpot, Hootsuite, Trello","Manages recruitment and employee relations for Saudi-based companies, ensuring compliance with labor laws and Saudization policies.","HR Analytics & People Management, Recruitment & Talent Acquisition, Employee Engagement"
583,Design,UI/UX,"Illustration, UI/UX, Branding","Blender, Cinema 4D, Motion Graphics, Sketch",Motion Graphics Designer,18750 - 52500 SAR,"Motion Graphics Pro, Adobe After Effects Certification","Figma, Adobe XD, Krita","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
